OrderID,Date,Customer,Region,Product,Category,Quantity,UnitPrice,Discount,Total_Sales
2,2/17/2023 0:00,Customer_120,South,Pen,Office Supplies,16.0,635.77,0.0,10172.32
3,8/3/2023 0:00,Customer_230,South,Pen,Office Supplies,15.0,302.26,0.0,4533.9
5,2/22/2023 0:00,Customer_195,North,Chair,Furniture,4.0,1436.03,0.1,5169.708
6,8/24/2023 0:00,Customer_194,North,Phone,Electronics,9.0,907.57,0.0,8168.13
7,10/23/2023 0:00,Customer_36,South,Phone,Electronics,18.0,929.69,0.1,15060.978000000003
8,2/21/2023 0:00,Customer_143,West,Tablet,Electronics,7.0,1477.91,0.05,9828.1015
9,12/10/2023 0:00,Customer_37,East,Cabinet,Furniture,3.0,558.42,0.05,1591.4969999999996
10,8/25/2023 0:00,Customer_139,West,Notebook,Office Supplies,15.0,1095.04,0.05,15604.319999999998
11,4/28/2023 0:00,Customer_162,North,Notebook,Office Supplies,19.0,489.8,0.0,9306.2
13,10/15/2023 0:00,Customer_300,East,Table,Furniture,2.0,401.0,0.05,761.9
14,9/18/2023 0:00,Customer_47,West,Table,Furniture,9.0,332.88,0.05,2846.124
15,11/2/2023 0:00,Customer_198,North,Laptop,Electronics,2.0,777.87,0.15,1322.379
16,1/6/2023 0:00,Customer_275,North,Table,Furniture,14.0,380.86,0.0,5332.04
17,8/21/2023 0:00,Customer_135,North,Cabinet,Furniture,1.0,777.87,0.05,738.9765
18,11/24/2023 0:00,Customer_79,South,Notebook,Office Supplies,14.0,1369.38,0.1,17254.188000000002
19,1/1/2023 0:00,Customer_251,East,Chair,Furniture,15.0,1430.48,0.0,21457.2
20,5/3/2023 0:00,Customer_124,North,Laptop,Electronics,9.0,1318.69,0.1,10681.389000000001
22,11/7/2023 0:00,Customer_109,West,Stapler,Office Supplies,15.0,251.86,0.0,3777.9
23,8/13/2023 0:00,Customer_62,West,Notebook,Office Supplies,20.0,471.02,0.1,8478.36
25,2/4/2023 0:00,Customer_170,North,Laptop,Electronics,20.0,948.5,0.05,18021.5
26,10/4/2023 0:00,Customer_293,South,Tablet,Electronics,6.0,1005.12,0.05,5729.184
27,4/8/2023 0:00,Customer_50,North,Stapler,Office Supplies,5.0,1178.01,0.15,5006.5425000000005
28,1/28/2023 0:00,Customer_32,North,Stapler,Office Supplies,9.0,777.87,0.15,5950.7055
29,10/2/2023 0:00,Customer_72,West,Cabinet,Furniture,1.0,376.74,0.05,357.903
30,8/15/2023 0:00,Customer_26,North,Chair,Furniture,6.0,696.63,0.0,4179.78
32,7/14/2023 0:00,Customer_200,North,Chair,Furniture,10.0,1354.15,0.05,12864.425
33,12/5/2023 0:00,Customer_80,West,Table,Furniture,7.0,637.4,0.0,4461.8
34,10/5/2023 0:00,Customer_161,North,Phone,Electronics,4.0,1453.22,0.0,5812.88
35,3/22/2023 0:00,Customer_261,North,Laptop,Electronics,16.0,717.8,0.0,11484.8
37,10/17/2023 0:00,Customer_134,East,Laptop,Electronics,17.0,127.57,0.0,2168.69
38,12/10/2023 0:00,Customer_235,East,Phone,Electronics,5.0,402.09,0.05,1909.9274999999998
40,5/6/2023 0:00,Customer_146,East,Phone,Electronics,2.0,1400.22,0.0,2800.44
41,12/1/2023 0:00,Customer_284,North,Monitor,Electronics,15.0,1056.79,0.0,15851.849999999999
42,10/11/2023 0:00,Customer_140,South,Desk,Furniture,2.0,400.38,0.0,800.76
43,9/16/2023 0:00,Customer_129,West,Chair,Furniture,20.0,517.61,0.1,9316.980000000001
